well,row,col,host,colony,phage,dilution
A1,A,1,blank,3,blank,1.00E+00
B1,B,1,blank,3,blank,1.00E-01
C1,C,1,wt,3,noPHI,1.00E-02
D1,D,1,wt,3,noPHI,1.00E-03
E1,E,1,wt,3,noPHI,1.00E-04
F1,F,1,wt,3,noPHI,1.00E-05
G1,G,1,blank,3,blank,1.00E-06
H1,H,1,blank,3,blank,1.00E-07
A2,A,2,wt,3,wt,1.00E+00
B2,B,2,wt,3,wt,1.00E-01
C2,C,2,wt,3,wt,1.00E-02
D2,D,2,wt,3,wt,1.00E-03
E2,E,2,wt,3,wt,1.00E-04
F2,F,2,wt,3,wt,1.00E-05
G2,G,2,wt,3,wt,1.00E-06
H2,H,2,wt,3,wt,1.00E-07
A3,A,3,wt,3,del120,1.00E+00
B3,B,3,wt,3,del120,1.00E-01
C3,C,3,wt,3,del120,1.00E-02
D3,D,3,wt,3,del120,1.00E-03
E3,E,3,wt,3,del120,1.00E-04
F3,F,3,wt,3,del120,1.00E-05
G3,G,3,wt,3,del120,1.00E-06
H3,H,3,wt,3,del120,1.00E-07
A4,A,4,blank,3,blank,1.00E+00
B4,B,4,blank,3,blank,1.00E-01
C4,C,4,sigF,3,noPHI,1.00E-02
D4,D,4,sigF,3,noPHI,1.00E-03
E4,E,4,sigF,3,noPHI,1.00E-04
F4,F,4,sigF,3,noPHI,1.00E-05
G4,G,4,blank,3,blank,1.00E-06
H4,H,4,blank,3,blank,1.00E-07
A5,A,5,sigF,3,wt,1.00E+00
B5,B,5,sigF,3,wt,1.00E-01
C5,C,5,sigF,3,wt,1.00E-02
D5,D,5,sigF,3,wt,1.00E-03
E5,E,5,sigF,3,wt,1.00E-04
F5,F,5,sigF,3,wt,1.00E-05
G5,G,5,sigF,3,wt,1.00E-06
H5,H,5,sigF,3,wt,1.00E-07
A6,A,6,sigF,3,del120,1.00E+00
B6,B,6,sigF,3,del120,1.00E-01
C6,C,6,sigF,3,del120,1.00E-02
D6,D,6,sigF,3,del120,1.00E-03
E6,E,6,sigF,3,del120,1.00E-04
F6,F,6,sigF,3,del120,1.00E-05
G6,G,6,sigF,3,del120,1.00E-06
H6,H,6,sigF,3,del120,1.00E-07
A7,A,7,blank,4,blank,1.00E+00
B7,B,7,blank,4,blank,1.00E-01
C7,C,7,wt,4,noPHI,1.00E-02
D7,D,7,wt,4,noPHI,1.00E-03
E7,E,7,wt,4,noPHI,1.00E-04
F7,F,7,wt,4,noPHI,1.00E-05
G7,G,7,blank,4,blank,1.00E-06
H7,H,7,blank,4,blank,1.00E-07
A8,A,8,wt,4,wt,1.00E+00
B8,B,8,wt,4,wt,1.00E-01
C8,C,8,wt,4,wt,1.00E-02
D8,D,8,wt,4,wt,1.00E-03
E8,E,8,wt,4,wt,1.00E-04
F8,F,8,wt,4,wt,1.00E-05
G8,G,8,wt,4,wt,1.00E-06
H8,H,8,wt,4,wt,1.00E-07
A9,A,9,wt,4,del120,1.00E+00
B9,B,9,wt,4,del120,1.00E-01
C9,C,9,wt,4,del120,1.00E-02
D9,D,9,wt,4,del120,1.00E-03
E9,E,9,wt,4,del120,1.00E-04
F9,F,9,wt,4,del120,1.00E-05
G9,G,9,wt,4,del120,1.00E-06
H9,H,9,wt,4,del120,1.00E-07
A10,A,10,blank,4,blank,1.00E+00
B10,B,10,blank,4,blank,1.00E-01
C10,C,10,sigF,4,noPHI,1.00E-02
D10,D,10,sigF,4,noPHI,1.00E-03
E10,E,10,sigF,4,noPHI,1.00E-04
F10,F,10,sigF,4,noPHI,1.00E-05
G10,G,10,blank,4,blank,1.00E-06
H10,H,10,blank,4,blank,1.00E-07
A11,A,11,sigF,4,wt,1.00E+00
B11,B,11,sigF,4,wt,1.00E-01
C11,C,11,sigF,4,wt,1.00E-02
D11,D,11,sigF,4,wt,1.00E-03
E11,E,11,sigF,4,wt,1.00E-04
F11,F,11,sigF,4,wt,1.00E-05
G11,G,11,sigF,4,wt,1.00E-06
H11,H,11,sigF,4,wt,1.00E-07
A12,A,12,sigF,4,del120,1.00E+00
B12,B,12,sigF,4,del120,1.00E-01
C12,C,12,sigF,4,del120,1.00E-02
D12,D,12,sigF,4,del120,1.00E-03
E12,E,12,sigF,4,del120,1.00E-04
F12,F,12,sigF,4,del120,1.00E-05
G12,G,12,sigF,4,del120,1.00E-06
H12,H,12,sigF,4,del120,1.00E-07
