header,protein,sp,description,group,new.header
BAK53012.1 sigma factor [Bacillus phage SP-10],BAK53012.1,Bacillus phage SP-10, sigma factor,phage,BAK53012.1_phage
AGH27928.1 putative sporulation sigma factor [Clostridium phage vB_CpeS-CP51],AGH27928.1,Clostridium phage vB_CpeS-CP51, putative sporulation sigma factor,phage,AGH27928.1_phage
ADL40344.1 putative response regulator [Clostridium phage phiCTP1],ADL40344.1,Clostridium phage phiCTP1, putative response regulator,phage,ADL40344.1_phage
ADL40362.1 putative RNA polymerase sigma factor [Clostridium phage phiCTP1],ADL40362.1,Clostridium phage phiCTP1, putative RNA polymerase sigma factor,phage,ADL40362.1_phage
AAL96802.1 putative sigma factor [Clostridium phage phi3626],AAL96802.1,Clostridium phage phi3626, putative sigma factor,phage,AAL96802.1_phage
ABC40436.1 putative RNA polymerase sigma subunit [Bacillus virus Wbeta],ABC40436.1,Bacillus virus Wbeta, putative RNA polymerase sigma subunit,phage,ABC40436.1_phage
AGE60961.1 RNA polymerase sigma-70 factor [Bacillus virus Taylor],AGE60961.1,Bacillus virus Taylor, RNA polymerase sigma-70 factor,phage,AGE60961.1_phage
ACI90961.1 gp2.21 [Bacillus virus SPO1],ACI90961.1,Bacillus virus SPO1, gp2.21,phage,ACI90961.1_phage
AEO93340.1 gp69 [Bacillus virus G],AEO93340.1,Bacillus virus G, gp69,phage,AEO93340.1_phage
AEO93274.1 gp3 [Bacillus virus G],AEO93274.1,Bacillus virus G, gp3,phage,AEO93274.1_phage
AGE60807.1 RNA polymerase sigma-70 factor [Bacillus virus Eoghan],AGE60807.1,Bacillus virus Eoghan, RNA polymerase sigma-70 factor,phage,AGE60807.1_phage
ALO79610.1 RNA polymerase sigma factor [Bacillus virus BM15],ALO79610.1,Bacillus virus BM15, RNA polymerase sigma factor,phage,ALO79610.1_phage
ALO79609.1 sigma70 protein [Bacillus virus BM15],ALO79609.1,Bacillus virus BM15, sigma70 protein,phage,ALO79609.1_phage
AGY46846.1 RNA polymerase sigma-70 factor [Bacillus virus Blastoid],AGY46846.1,Bacillus virus Blastoid, RNA polymerase sigma-70 factor,phage,AGY46846.1_phage
AMW62487.1 sigma factor [Bacillus phage Zuko],AMW62487.1,Bacillus phage Zuko, sigma factor,phage,AMW62487.1_phage
QKE56338.1 RNA polymerase sigma factor [Bacillus phage YungSlug],QKE56338.1,Bacillus phage YungSlug, RNA polymerase sigma factor,phage,QKE56338.1_phage
QKE56523.1 RNA polymerase sigma factor [Bacillus phage YungSlug],QKE56523.1,Bacillus phage YungSlug, RNA polymerase sigma factor,phage,QKE56523.1_phage
ADH03291.1 gp145 [Bacillus phage W.Ph.],ADH03291.1,Bacillus phage W.Ph., gp145,phage,ADH03291.1_phage
AMW61966.1 sigma factor [Bacillus phage Vinny],AMW61966.1,Bacillus phage Vinny, sigma factor,phage,AMW61966.1_phage
QDP43184.1 putative RNA polymerase sigma-70 [Bacillus phage vB_BveM-Goe7],QDP43184.1,Bacillus phage vB_BveM-Goe7, putative RNA polymerase sigma-70,phage,QDP43184.1_phage
QDP43462.1 sigma-70 family RNA polymerase sigma factor [Bacillus phage vB_BthS-HD29phi],QDP43462.1,Bacillus phage vB_BthS-HD29phi, sigma-70 family RNA polymerase sigma factor,phage,QDP43462.1_phage
AZF89309.1 RNA polymerase sigma factor [Bacillus phage vB_BthM-Goe5],AZF89309.1,Bacillus phage vB_BthM-Goe5, RNA polymerase sigma factor,phage,AZF89309.1_phage
QMV48360.1 putative RNA polymerase sigma-70-like protein [Bacillus phage vB_BsuM-Goe9],QMV48360.1,Bacillus phage vB_BsuM-Goe9, putative RNA polymerase sigma-70-like protein,phage,QMV48360.1_phage
APZ82618.1 RNA polymerase sigma factor [Bacillus phage vB_BsuM-Goe3],APZ82618.1,Bacillus phage vB_BsuM-Goe3, RNA polymerase sigma factor,phage,APZ82618.1_phage
APZ82294.1 RNA polymerase sigma factor [Bacillus phage vB_BsuM-Goe2],APZ82294.1,Bacillus phage vB_BsuM-Goe2, RNA polymerase sigma factor,phage,APZ82294.1_phage
QMV48586.1 putative RNA polymerase sigma-70-like protein [Bacillus phage vB_BsuM-Goe10],QMV48586.1,Bacillus phage vB_BsuM-Goe10, putative RNA polymerase sigma-70-like protein,phage,QMV48586.1_phage
QEG13663.1 putative RNA polymerase sigma factor [Bacillus phage vB_BspM_MarvelLand],QEG13663.1,Bacillus phage vB_BspM_MarvelLand, putative RNA polymerase sigma factor,phage,QEG13663.1_phage
