seqname,locus_tag.d6,start,end,strand,locus_tag.168,gene,product,category1,category2,sporulation
NZ_CP015975.1,A8O17_RS00005,410,1750,+,BSU_00010,dnaA,chromosomal replication initiator informational ATPase,Information processing;Groups of genes,Genetics;Essential genes,TRUE
NZ_CP015975.1,A8O17_RS00010,1939,3075,+,BSU_00020,dnaN,DNA polymerase III (beta subunit),Information processing;Information processing;Groups of genes,Genetics;Genetics;Essential genes,TRUE
NZ_CP015975.1,A8O17_RS00015,3206,3421,+,BSU_00030,rlbA,RNA binding protein involved in ribosome maturation,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00020,3437,4549,+,BSU_00040,recF,RecA filament-DNA complex stabilisation%2C ssDNA and dsDNA binding%2C ATP binding,Information processing;Information processing,Genetics;Genetics,FALSE
NZ_CP015975.1,A8O17_RS00025,4567,4812,+,BSU_00050,remB,regulator of extracellular matrix formation,Lifestyles;Lifestyles,Exponential and early post-exponential lifestyles;Exponential and early post-exponential lifestyles,FALSE
NZ_CP015975.1,A8O17_RS00030,4867,6783,+,BSU_00060,gyrB,DNA gyrase (subunit B),Information processing;Groups of genes;Groups of genes,Genetics;Essential genes;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS00035,6994,9459,+,BSU_00070,gyrA,DNA gyrase (subunit A),Information processing;Groups of genes,Genetics;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00065,14847,15794,-,BSU_00080,yaaC,conserved protein of unknown function,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00070,15915,17381,+,BSU_00090,guaB,inosine-monophosphate dehydrogenase,Metabolism;Information processing;Groups of genes,Nucleotide metabolism;Targets of second messengers;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS00075,17534,18865,+,BSU_00100,dacA,D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5),Cellular processes;Groups of genes;Groups of genes,Cell envelope and cell division;Membrane proteins;Secreted proteins,FALSE
NZ_CP015975.1,A8O17_RS00080,19062,19946,+,BSU_00110,pdxS,glutamine amidotransferase for pyridoxal phosphate synthesis%3B pyridoxal 5'-phosphate synthase complex%2C synthase subunit,Metabolism;Information processing;Groups of genes;Groups of genes,Additional metabolic pathways;Genetics;Phosphoproteins;Phosphoproteins,TRUE
NZ_CP015975.1,A8O17_RS00085,19968,20558,+,BSU_00120,pdxT,glutamine amidotransferase for pyridoxal phosphate synthesis%3B pyridoxal 5'-phosphate synthase complex%2C glutamine amidotransferase subunit PdxT,Metabolism;Information processing,Additional metabolic pathways;Genetics,FALSE
NZ_CP015975.1,A8O17_RS00090,20880,22157,+,BSU_00130,serS,seryl-tRNA synthetase,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00100,22496,23149,-,BSU_00140,dck,deoxyadenosine/deoxycytidine kinase,Metabolism,Nucleotide metabolism,FALSE
NZ_CP015975.1,A8O17_RS00105,23146,23769,-,BSU_00150,dgk,deoxyguanosine kinase,Metabolism,Nucleotide metabolism,FALSE
NZ_CP015975.1,A8O17_RS00110,23868,25151,-,BSU_00160,sleL,spore peptidoglycan N-acetylglucosaminidase,Lifestyles;Lifestyles,Sporulation;Coping with stress,TRUE
NZ_CP015975.1,A8O17_RS00115,25221,25766,-,BSU_00170,yaaI,putative amidase (isochorismatase family),Lifestyles;Groups of genes,Coping with stress;Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS00120,25852,26337,+,BSU_00180,tadA,tRNA specific adenosine A34 deaminase,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00130,26814,28505,+,BSU_00190,dnaX,DNA polymerase III subunit tau subunit,Information processing;Groups of genes,Genetics;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00135,28529,28852,+,BSU_00200,ebfC,nucleoid associated protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00140,28867,29463,+,BSU_00210,recR,recA filament-DNA complex stabilisation factor,Information processing;Information processing,Genetics;Genetics,FALSE
NZ_CP015975.1,A8O17_RS00145,29481,29705,+,BSU_00220,yaaL,conserved protein of unknown function,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00150,29772,30035,+,BSU_00230,bofA,inhibitor of the pro-sigma(K) processing machinery,Information processing;Lifestyles;Groups of genes,Regulation of gene expression;Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS00180,35531,35725,+,BSU_00240,csfB,forespore-specific anti-sigma factor,Information processing;Lifestyles,Regulation of gene expression;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00185,35845,36459,+,BSU_00250,xpaC,putative phosphatase,Lifestyles;Groups of genes,Coping with stress;Poorly characterized/ putative enzymes,FALSE
NZ_CP015975.1,A8O17_RS00190,36478,37638,+,BSU_00260,yaaN,putative toxic compound resistance protein,Lifestyles,Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS00195,37720,39162,+,BSU_00270,yaaO,putative decarboxylase,Information processing;Information processing;Groups of genes,"Protein synthesis, modification and degradation;Protein synthesis, modification and degradation;Poorly characterized/ putative enzymes",FALSE
NZ_CP015975.1,A8O17_RS00200,39159,39797,+,BSU_00280,tmk,thymidylate kinase,Metabolism;Groups of genes,Nucleotide metabolism;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00205,39871,40200,+,BSU_00290,darA,signal transduction receptor%2C cyclic di-AMP binding,Information processing;Groups of genes,Targets of second messengers;Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00210,40213,40653,+,BSU_00300,yaaR,conserved hypothetical protein,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00215,40665,41654,+,BSU_00310,holB,DNA polymerase III clamp loader delta' subunit,Information processing;Groups of genes,Genetics;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00220,41657,42484,+,BSU_00320,ricT,subunit of a sporulation%2C competence and biofilm formation regulatory complex of RNaseY (RicAFT complex / FAD / two [4Fe-4S]2+),Information processing;Information processing;Lifestyles;Lifestyles,Regulation of gene expression;Regulation of gene expression;Sporulation;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00225,42499,42858,+,BSU_00330,dnaH,subunit of the DNA replication complex,Information processing;Groups of genes,Genetics;Phosphoproteins,FALSE
NZ_CP015975.1,A8O17_RS00230,42917,43660,+,BSU_00340,trmNF,tRNA1(Val) (adenine(37)-N6)-methyltransferase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00235,43647,43946,+,BSU_00350,yazA,putative UvrC-Intron-type (URI) endonuclease,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00240,43921,44799,+,BSU_00360,rsmI,16S rRNA 2'-O-ribose C1402 methyltransferase,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00245,44848,45138,-,BSU_00370,abrB,transcriptional regulator for transition state genes (AbrB-SurF),Information processing;Groups of genes,Regulation of gene expression;Phosphoproteins,TRUE
NZ_CP015975.1,A8O17_RS00250,45633,47627,+,BSU_00380,metS,methionyl-tRNA synthetase,Information processing;Groups of genes;Groups of genes,"Protein synthesis, modification and degradation;Essential genes;Phosphoproteins",FALSE
NZ_CP015975.1,A8O17_RS00255,47706,48473,+,BSU_00390,dayD,D-amino acyl-tRNA deacylase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00260,48629,49942,+,BSU_00400,yabE,putative cell wall shaping enzyme,Cellular processes,Cell envelope and cell division,FALSE
NZ_CP015975.1,A8O17_RS00265,50087,50647,+,BSU_00410,rnmV,ribonuclease M5,Information processing;Information processing,"RNA synthesis and degradation;Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00270,50640,51518,+,BSU_00420,rsmA,dimethyladenosine 16S ribosomal RNA transferase,Information processing,"Protein synthesis, modification and degradation",TRUE
NZ_CP015975.1,A8O17_RS00275,51680,52552,+,BSU_00430,prtG,sporulation-specific protease,Information processing;Lifestyles;Groups of genes,"Protein synthesis, modification and degradation;Sporulation;Membrane proteins",TRUE
NZ_CP015975.1,A8O17_RS00280,52763,53023,+,BSU_00440,veg,conserved hypothetical protein,Lifestyles;Lifestyles,Exponential and early post-exponential lifestyles;Exponential and early post-exponential lifestyles,FALSE
NZ_CP015975.1,A8O17_RS00285,53183,53368,+,BSU_00450,sspF,small acid-soluble spore protein (alpha/beta-type SASP),Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00290,53516,54385,+,BSU_00460,ispE,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,Metabolism;Groups of genes,Lipid metabolism;Essential genes,TRUE
NZ_CP015975.1,A8O17_RS00295,54441,55298,+,BSU_00470,purR,transcriptional regulator of the purine biosynthesis operon (PurR-pRpp),Metabolism;Information processing,Nucleotide metabolism;Regulation of gene expression,TRUE
NZ_CP015975.1,A8O17_RS00300,55295,55672,+,BSU_00480,ridA,aminoacrylate/iminopropionate hydrolase/deaminase,Metabolism;Metabolism,Amino acid/ nitrogen metabolism;Detoxification reactions,TRUE
NZ_CP015975.1,A8O17_RS00305,55866,56159,+,BSU_00490,spoVG,regulator required for spore cortex synthesis (stage V sporulation),Cellular processes;Information processing;Lifestyles;Groups of genes,Cell envelope and cell division;RNA synthesis and degradation;Sporulation;Phosphoproteins,TRUE
NZ_CP015975.1,A8O17_RS00315,56352,57722,+,BSU_00500,glmU,bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase,Cellular processes;Metabolism;Groups of genes,Cell envelope and cell division;Additional metabolic pathways;Essential genes,FALSE
NZ_CP015975.1,A8O17_RS00320,57745,58698,+,BSU_00510,prs,phosphoribosylpyrophosphate synthetase,Metabolism;Metabolism;Metabolism;Groups of genes;Groups of genes,Amino acid/ nitrogen metabolism;Nucleotide metabolism;Nucleotide metabolism;Essential genes;Universally conserved proteins,FALSE
NZ_CP015975.1,A8O17_RS00325,58783,59397,+,BSU_00520,ctc,ribosomal protein BL25 (Ctc)%2C binding 5S RNA,Information processing;Lifestyles,"Protein synthesis, modification and degradation;Coping with stress",FALSE
NZ_CP015975.1,A8O17_RS00330,59504,60070,+,BSU_00530,pth,peptidyl-tRNA hydrolase,Information processing;Lifestyles;Groups of genes,"Protein synthesis, modification and degradation;Coping with stress;Essential genes",TRUE
NZ_CP015975.1,A8O17_RS00335,60130,60360,+,BSU_00540,fin,protein required for the switch from F to G during sporulation (anti sigma F),Information processing;Information processing;Information processing;Lifestyles,Genetics;Genetics;Regulation of gene expression;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00340,60430,63963,+,BSU_00550,mfd,transcription-repair coupling factor,Information processing;Information processing;Information processing,Genetics;Genetics;RNA synthesis and degradation,TRUE
NZ_CP015975.1,A8O17_RS00345,64099,64635,+,BSU_00560,spoVT,transcriptional regulator of sporulation / germination,Information processing;Lifestyles,Regulation of gene expression;Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00350,64817,66415,+,BSU_00570,yabM,putative exporter,Cellular processes;Metabolism;Groups of genes,Cell envelope and cell division;Additional metabolic pathways;Membrane proteins,FALSE
NZ_CP015975.1,A8O17_RS00355,66405,67874,+,BSU_00580,yabN,putative fusion methylase and nucleotide pyrophosphohydrolase,Groups of genes,Proteins of unknown function,FALSE
NZ_CP015975.1,A8O17_RS00360,67877,68137,+,BSU_00590,hslR,ribosomal RNA binding protein involved in 50S recycling%3B heat shock protein,Information processing,"Protein synthesis, modification and degradation",FALSE
NZ_CP015975.1,A8O17_RS00365,68216,68518,+,BSU_00600,spcP,spore protein involved in the shaping of the spore coat,Lifestyles;Groups of genes,Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS00370,68515,69150,+,BSU_00610,spcQ,membrane protein of the forespore,Lifestyles;Groups of genes,Sporulation;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS00375,69168,69545,+,BSU_00620,divIC,cell-division initiation protein,Cellular processes;Lifestyles;Lifestyles;Groups of genes;Groups of genes,Cell envelope and cell division;Sporulation;Coping with stress;Essential genes;Membrane proteins,TRUE
NZ_CP015975.1,A8O17_RS00380,69626,70012,+,BSU_00630,yabR,putative RNA degradation protein%3B polyribonucleotide nucleotidyltransferase or phosphorylase,Lifestyles;Groups of genes,Sporulation;Poorly characterized/ putative enzymes,TRUE
NZ_CP015975.1,A8O17_RS00395,70538,73021,+,BSU_00640,spoIIE,SpoIIAA-phosphate serine phosphatase,Information processing;Information processing;Groups of genes,"Protein synthesis, modification and degradation;Regulation of gene expression;Membrane proteins",TRUE
NZ_CP015975.1,A8O17_RS00400,73106,73843,+,BSU_00650,yabS,conserved protein of unknown function,Lifestyles,Sporulation,TRUE
NZ_CP015975.1,A8O17_RS00405,73809,74825,+,BSU_00660,prkT,serine/threonine-protein kinase,Information processing;Lifestyles;Groups of genes,"Protein synthesis, modification and degradation;Sporulation;Membrane proteins",TRUE
NZ_CP015975.1,A8O17_RS00410,74929,76347,+,BSU_00670,tilS,tRNA(ile2) lysidine synthetase,Information processing;Information processing;Information processing;Lifestyles;Groups of genes,"Protein synthesis, modification and degradation;Regulation of gene expression;Regulation of gene expression;Coping with stress;Essential genes",FALSE
NZ_CP015975.1,A8O17_RS00415,76344,76886,+,BSU_00680,hprT,hypoxanthine-guanine phosphoribosyltransferase,Metabolism;Information processing;Information processing;Information processing;Lifestyles,Nucleotide metabolism;Regulation of gene expression;Regulation of gene expression;Targets of second messengers;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS00420,76984,78897,+,BSU_00690,ftsH,ATP-dependent cytoplasmic membrane protease,Cellular processes;Information processing;Lifestyles;Lifestyles;Lifestyles;Lifestyles;Groups of genes,"Cell envelope and cell division;Protein synthesis, modification and degradation;Exponential and early post-exponential lifestyles;Exponential and early post-exponential lifestyles;Coping with stress;Coping with stress;Membrane proteins",FALSE
NZ_CP015975.1,A8O17_RS00425,79092,79868,+,BSU_00700,coaX,pantothenate kinase type III,Metabolism;Lifestyles,Additional metabolic pathways;Coping with stress,FALSE
NZ_CP015975.1,A8O17_RS00430,79880,80755,+,BSU_00710,hslO,disulfide bond chaperone (heat shock protein HSP33),Information processing;Lifestyles,"Protein synthesis, modification and degradation;Coping with stress",FALSE
NZ_CP015975.1,A8O17_RS00435,80802,81695,+,BSU_00720,yacD,putative protein chaperone accessory lipoprotein factor,Information processing;Groups of genes,"Protein synthesis, modification and degradation;Secreted proteins",FALSE
NZ_CP015975.1,A8O17_RS00440,81771,82697,+,BSU_00730,cysK,cysteine synthase,Metabolism;Information processing;Information processing,Amino acid/ nitrogen metabolism;Regulation of gene expression;Regulation of gene expression,FALSE
NZ_CP015975.1,A8O17_RS00445,82864,84276,+,BSU_00740,pabB,4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase),Metabolism,Additional metabolic pathways,FALSE
NZ_CP015975.1,A8O17_RS00450,84290,84874,+,BSU_00750,pabA,4-amino-4-deoxychorismate synthase%3B anthranilate synthase (subunit II),Metabolism;Metabolism,Amino acid/ nitrogen metabolism;Additional metabolic pathways,FALSE
