#GroupName	ProteinCount	SpeciesCount	FunctionalCategory	ConsensusFunctionalDescription
VOG00001	822	676	Xu	sp|P03041|RPC1_BPP22 Transcriptional activator protein C1
VOG00002	183	16	Xh	sp|Q5UPJ9|YL122_MIMIV Putative ankyrin repeat protein L122
VOG00003	703	625	Xr	sp|O22001|VXIS_BPMD2 Excisionase
VOG00004	289	250	Xu	sp|P03795|Y28_BPT7 Protein 2.8
VOG00005	236	59	Xu	REFSEQ hypothetical protein
VOG00006	95	89	Xu	sp|Q5UPT6|YL245_MIMIV Uncharacterized HNH endonuclease L245
VOG00007	487	251	Xh	sp|Q6QGD3|ENDO1_BPT5 Putative endonuclease
VOG00008	68	3	Xh	sp|Q5UQJ2|YR863_MIMIV Putative ankyrin repeat protein R863
VOG00009	105	102	XhXp	sp|Q8LTD0|SPAN2_BPP2 Probable spanin, outer lipoprotein subunit
VOG00010	499	499	XhXr	sp|O57229|RUVV_VACCA Holliday junction resolvase
VOG00011	203	29	Xu	REFSEQ hypothetical protein
VOG00012	33	9	Xu	sp|Q5UQZ4|YR904_MIMIV Putative KilA-N domain-containing protein R904
VOG00013	499	498	Xu	REFSEQ hypothetical protein
VOG00014	142	117	Xu	REFSEQ hypothetical protein
VOG00015	49	44	Xu	REFSEQ hypothetical protein
VOG00016	131	84	Xr	sp|P54992|YSNA_STRPR Putative transposase in snaA-snaB intergenic region
VOG00017	140	74	Xu	REFSEQ hypothetical protein
VOG00018	75	35	Xu	REFSEQ hypothetical protein
VOG00019	114	53	Xu	REFSEQ hypothetical protein
VOG00020	34	28	Xu	REFSEQ hypothetical protein
VOG00021	116	69	Xh	sp|Q32PI1|VRK1_BOVIN Serine/threonine-protein kinase VRK1
VOG00022	246	64	Xh	sp|B1XLW1|Y2658_SYNP2 PKHD-type hydroxylase SYNPCC7002_A2658
VOG00023	57	48	Xu	REFSEQ hypothetical protein
VOG00024	43	30	Xu	sp|Q5UPC5|YR047_MIMIV Uncharacterized protein R47
VOG00025	25	23	XhXpXs	sp|Q9XJP3|FIBER_BPSFV Tail spike protein
VOG00026	360	352	XhXs	sp|Q6QGE9|BPPB3_BPT5 Probable baseplate hub protein
VOG00027	32	32	XhXs	sp|B0FIH7|FIB11_BPE32 Probable tail fiber protein
VOG00028	910	309	XhXpXrXs	sp|P13333|TUBE_BPT4 Tail tube protein gp19
VOG00029	1332	1228	XhXr	sp|P00581|DPOL_BPT7 DNA-directed DNA polymerase
VOG00030	29	6	Xs	sp|F5H8S6|US24_HCMVM Tegument protein US24
VOG00031	100	26	Xu	REFSEQ putative virion structural protein
VOG00032	25	25	XpXrXs	sp|Q6XQB2|PORTL_BPT1 Portal protein
VOG00033	64	63	Xu	REFSEQ hypothetical protein
VOG00034	83	83	Xu	REFSEQ lysin A
VOG00035	376	362	Xu	sp|Q5UQE7|YL479_MIMIV Uncharacterized protein L479
VOG00036	848	807	Xr	sp|Q9CI63|P2IN_LACLA Prophage ps2 probable integrase
VOG00037	54	52	Xu	sp|P14107|Y8K6_BPP22 Uncharacterized 8.6 kDa protein in ral-gp17 intergenic region
VOG00038	30	10	Xu	REFSEQ hypothetical protein
VOG00039	187	146	Xu	REFSEQ hypothetical protein
VOG00040	64	64	Xu	sp|D3WAC2|ENDON_BPLP2 Probable HNH endonuclease
VOG00041	231	198	Xu	sp|O64237|VG46_BPMD2 Gene 46 protein
VOG00042	57	37	Xu	REFSEQ hypothetical protein
VOG00043	280	151	Xr	sp|P03787|V5557_BPT7 Fusion protein 5.5/5.7
VOG00044	164	159	Xu	sp|Q6QGG9|D5_BPT5 Putative transcription factor D5
VOG00045	33	32	XhXs	sp|P68692|GLRX1_VACCW Glutaredoxin-1
VOG00046	288	287	XhXs	sp|O64333|TIPK_BPN15 Tail tip assembly protein K
VOG00047	61	11	Xu	REFSEQ hypothetical protein
VOG00048	261	189	Xh	sp|P33658|RPSG_CLOAB RNA polymerase sigma-G factor
VOG00049	83	71	Xu	REFSEQ hypothetical protein
VOG00050	156	150	Xu	REFSEQ hypothetical protein
VOG00051	159	153	XhXs	sp|Q7Y5D9|FIBL2_BPT5 L-shaped tail fiber protein p132
VOG00052	63	52	Xu	REFSEQ hypothetical protein
VOG00053	31	26	Xu	REFSEQ hypothetical protein
VOG00054	40	37	Xu	REFSEQ HNH endonuclease
VOG00055	791	790	XpXrXs	sp|Q05220|PORTL_BPML5 Portal protein
VOG00056	305	178	Xu	REFSEQ hypothetical protein
VOG00057	255	252	XpXrXs	sp|O48446|HCP16_BPSPP Head completion protein gp16
VOG00058	220	220	XhXr	sp|P04893|TERS_BPP22 Terminase, small subunit
VOG00059	198	142	Xu	sp|O64230|VG39_BPMD2 Gene 39 protein
VOG00060	67	65	Xu	REFSEQ hypothetical protein
VOG00061	205	87	Xu	sp|P13307|Y06B_BPT4 Uncharacterized 7.1 kDa protein in tk-vs intergenic region
VOG00062	626	620	XhXp	sp|P04522|EXO2_BPT4 Exonuclease subunit 2
VOG00063	41	40	Xs	sp|P85991|IGLVP_BPSK9 Ig-like virion protein
VOG00064	218	218	Xu	REFSEQ hypothetical protein
VOG00065	277	277	Xu	REFSEQ hypothetical protein
VOG00066	74	45	Xu	sp|P03049|RMNT_BPP22 Regulatory protein mnt
VOG00067	48	19	Xu	REFSEQ hypothetical protein
VOG00068	165	70	Xu	REFSEQ hypothetical protein
VOG00069	371	320	XhXp	sp|P29538|MTH1_HAEPA Modification methylase HpaI
VOG00070	66	60	Xu	REFSEQ hypothetical protein
VOG00071	40	35	Xu	REFSEQ hypothetical protein
VOG00072	154	153	XhXr	sp|P9WNU1|DPO3B_MYCTU Beta sliding clamp
VOG00073	169	169	Xu	REFSEQ gp6-like head-tail connector protein
VOG00074	712	705	Xh	sp|Q7Y4Y9|DNMK_BPR69 Deoxynucleotide monophosphate kinase
VOG00075	214	213	Xu	REFSEQ hypothetical protein
VOG00076	75	75	XpXrXs	sp|O48459|DIT_BPSPP Distal tail protein
VOG00077	1063	1008	XhXr	sp|P04520|PRIM_BPT4 DNA primase
VOG00078	75	73	Xh	sp|Q06717|GSTG_BPT2 Beta-glucosyl-HMC-alpha-glucosyl-transferase
VOG00079	65	60	XhXp	sp|Q3T4L9|HOLIN_BPPRD Holin
VOG00080	148	119	Xu	REFSEQ hypothetical protein
VOG00081	622	599	XhXp	sp|P06855|KIPN_BPT4 Polynucleotide kinase
VOG00082	93	88	Xu	REFSEQ hypothetical protein
