header,taxon,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family
658401.YP_003084147.1 type III RNAP sigma factor [Cyanophage PSS2],658401,YP_003084147.1,Cyanophage PSS2, type III RNAP sigma factor,VOG26037,Cyanophage PSS2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_013021,NA,NA,NA,74547,Prochlorococcus marinus str. MIT 9313,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Prochloraceae; Prochlorococcus; Prochlorococcus marinus,NA,"NCBI Virus, RefSeq",NA,NA,1,658401.YP_003084147.1,Siphoviridae
753084.YP_004421531.1 RNA polymerase sigma factor SigF [Synechococcus phage S-CBS2],753084,YP_004421531.1,Synechococcus phage S-CBS2, RNA polymerase sigma factor SigF,VOG26037,Synechococcus phage S-CBS2,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_015463,NA,NA,NA,232353,Synechococcus sp. CB0204,Bacteria,Cyanobacteria/Melainabacteria group,Cyanobacteria,Synechococcales,Synechococcaceae; Synechococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,753084.YP_004421531.1,Siphoviridae
151538.NP_076779.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL310],151538,NP_076779.1,Lactococcus phage bIL310, sigma-70 family RNA polymerase sigma factor,VOG20983,Lactococcus phage bIL310,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002669,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA,1,151538.NP_076779.1,Siphoviridae
151539.NP_076821.1 sigma-70 family RNA polymerase sigma factor [Lactococcus phage bIL312],151539,NP_076821.1,Lactococcus phage bIL312, sigma-70 family RNA polymerase sigma factor,VOG20983,Lactococcus phage bIL312,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_002671,NA,NA,NA,272623,Lactococcus lactis subsp. lactis Il1403,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae; Lactococcus; Lactococcus lactis; Lactococcus lactis subsp. lactis,NA,"NCBI Virus, RefSeq",NA,NA,1,151539.NP_076821.1,Siphoviridae
"1118063.YP_006560743.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region) [Staphylococcus phage SpaA1]",1118063,YP_006560743.1,Staphylococcus phage SpaA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region)",VOG18372,Staphylococcus phage SpaA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_018277,NA,NA,NA,45972,Staphylococcus pasteuri,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,1118063.YP_006560743.1,Siphoviridae
"1118064.YP_009829866.1 sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region) [Bacillus phage BceA1]",1118064,YP_009829866.1,Bacillus phage BceA1," sigma70, RNA polymerase sigma factor, positive control factor Xpf (N-terminal region)",VOG18372,Bacillus phage BceA1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; unclassified Siphoviridae,NC_048628,NA,NA,NA,86661,Bacillus cereus group,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus,22815791,Literature,NA,NA,1,1118064.YP_009829866.1,Siphoviridae
2182400.YP_009801930.1 RNA polymerase sigma factor [Microbacterium phage Paschalis],2182400,YP_009801930.1,Microbacterium phage Paschalis, RNA polymerase sigma factor,VOG16626,Microbacterium phage Paschalis,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Quhwahvirus,NC_047976,NA,NA,NA,104336,Microbacterium foliorum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,"NCBI Virus, RefSeq",NA,NA,1,2182400.YP_009801930.1,Siphoviridae
2201436.YP_009802753.1 RNA polymerase sigma factor [Microbacterium phage MementoMori],2201436,YP_009802753.1,Microbacterium phage MementoMori, RNA polymerase sigma factor,VOG16626,Microbacterium phage MementoMori,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Mementomorivirus; Microbacterium virus MementoMori,NC_047987,NA,NA,NA,199592,Microbacterium paraoxydans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2201436.YP_009802753.1,Siphoviridae
2201437.YP_009802853.1 hypothetical protein [Microbacterium phage Metamorphoo],2201437,YP_009802853.1,Microbacterium phage Metamorphoo, hypothetical protein,VOG16626,Microbacterium phage Metamorphoo,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Metamorphoovirus; Microbacterium virus Metamorphoo,NC_047988,NA,NA,NA,199592,Microbacterium paraoxydans,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,RefSeq,NA,NA,1,2201437.YP_009802853.1,Siphoviridae
2201441.YP_009803285.1 RNA polymerase sigma factor [Microbacterium phage Quhwah],2201441,YP_009803285.1,Microbacterium phage Quhwah, RNA polymerase sigma factor,VOG16626,Microbacterium phage Quhwah,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Siphoviridae; Quhwahvirus,NC_047993,NA,NA,NA,104336,Microbacterium foliorum,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae; Microbacterium,NA,"NCBI Virus, RefSeq",NA,NA,1,2201441.YP_009803285.1,Siphoviridae
