target.name,target.accession,query.name,query.accession,full.seq.E-value,full.seq.score,full.seq.bias,best.domain.E-value,best.domain.score,best.domain.bias,exp,reg,clu,ov,env,dom,rep,inc,description.of.target,group
WP_038493726.1,-,0038400,88946,6.7e-21,71.7,0.5,6.7e-21,71.7,0.5,1.6,2,0,0,2,2,2,1,MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_080863981.1,-,0038400,88946,5.4e-20,68.8,0.3,1.1e-19,67.9,0.3,1.5,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_025594844.1,-,0038400,88946,4e-18,62.9,0.6,8.8e-18,61.8,0.6,1.6,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_004431393.1,-,0038400,88946,8.8e-18,61.8,0.2,4.8e-17,59.5,0.1,2.1,2,0,0,2,2,2,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_004432061.1,-,0038400,88946,1.5e-16,57.9,0.1,2.3e-16,57.4,0.1,1.3,1,0,0,1,1,1,1,MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_038497025.1,-,0038400,88946,2.3e-16,57.3,0.5,4.5e-16,56.4,0.5,1.5,1,0,0,1,1,1,1,MULTISPECIES: RNA polymerase sigma factor [Agrobacterium tumefaciens complex],bacteria
WP_038490951.1,-,0038400,88946,1.8e-15,54.5,0.4,3.5e-15,53.6,0.4,1.4,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_003513560.1,-,0038400,88946,4.5e-15,53.3,1.8,7.9e-15,52.5,1.8,1.4,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_003511036.1,-,0038400,88946,1.5e-13,48.4,0,2.7e-13,47.7,0,1.4,1,0,0,1,1,1,1,MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_003518695.1,-,0038400,88946,1e-12,45.8,0.2,2.1e-12,44.8,0.2,1.5,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_003513086.1,-,0038400,88946,6e-12,43.4,0.1,1.1e-11,42.6,0.1,1.4,1,0,0,1,1,1,1,MULTISPECIES: RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_038497316.1,-,0038400,88946,1.5e-10,39,0.4,2.6e-10,38.3,0.4,1.4,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Rhizobium/Agrobacterium group],bacteria
WP_000824008.1,-,0038400,88946,1e-18,64.8,0.6,1.8e-18,64,0.6,1.3,1,0,0,1,1,1,1,MULTISPECIES: RNA polymerase sigma factor [Bacillus],bacteria
WP_000438330.1,-,0038400,88946,1.2e-17,61.4,0.1,1.8e-17,60.8,0.1,1.3,1,0,0,1,1,1,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],bacteria
WP_000864729.1,-,0038400,88946,1.8e-16,57.7,0.1,1.5e-15,54.7,0,2,2,0,0,2,2,2,1,MULTISPECIES: sigma-70 family RNA polymerase sigma factor [Bacillus],bacteria
