assembly,genomic_accession,product_accession,name,symbol,sp
GCF_000007825.1,NC_004722.1,WP_000387193.1,RNA polymerase sporulation sigma factor SigH,NA,Bacillus_cereus_ATCC_14579
GCF_000007825.1,NC_004722.1,WP_002164611.1,RNA polymerase sigma factor SigB,sigB,Bacillus_cereus_ATCC_14579
GCF_000007825.1,NC_004722.1,WP_000197755.1,RNA polymerase sporulation sigma factor SigG,sigG,Bacillus_cereus_ATCC_14579
GCF_000007825.1,NC_004722.1,WP_000976948.1,RNA polymerase sporulation sigma factor SigE,sigE,Bacillus_cereus_ATCC_14579
GCF_000007825.1,NC_004722.1,WP_000350729.1,RNA polymerase sporulation sigma factor SigF,sigF,Bacillus_cereus_ATCC_14579
GCF_000007825.1,NC_004722.1,WP_000051382.1,RNA polymerase sporulation sigma factor SigK,sigK,Bacillus_cereus_ATCC_14579
GCF_000007825.1,NC_004722.1,WP_002025078.1,sigma-70 family RNA polymerase sigma factor,NA,Bacillus_cereus_ATCC_14579
GCF_000953275.1,NZ_LN614756.1,WP_003420464.1,SigB/SigF/SigG family RNA polymerase sigma factor,NA,Clostridioides_difficile
GCF_000953275.1,NZ_LN614756.1,WP_009892548.1,RNA polymerase sporulation sigma factor SigH,sigH,Clostridioides_difficile
GCF_000953275.1,NZ_LN614756.1,WP_003435969.1,FliA/WhiG family RNA polymerase sigma factor,NA,Clostridioides_difficile
GCF_000953275.1,NZ_LN614756.1,WP_011860953.1,RNA polymerase sporulation sigma factor SigF,sigF,Clostridioides_difficile
GCF_000953275.1,NZ_LN614756.1,WP_003416101.1,RNA polymerase sporulation sigma factor SigG,sigG,Clostridioides_difficile
GCF_000953275.1,NZ_LN614756.1,WP_003416098.1,RNA polymerase sporulation sigma factor SigE,sigE,Clostridioides_difficile
GCF_000196035.1,NC_003210.1,NP_463774.1,RNA polymerase factor sigma-70,sigH,Listeria_monocytogenes_EGD-e
GCF_000196035.1,NC_003210.1,NP_464421.1,RNA polymerase sigma factor SigB,sigB,Listeria_monocytogenes_EGD-e
GCF_000010065.1,NC_006576.1,WP_011244619.1,RNA polymerase sigma factor SigF,NA,Synechococcus_elongatus_PCC_6301
GCF_000010065.1,NC_006576.1,WP_011244805.1,RNA polymerase sigma factor SigF,NA,Synechococcus_elongatus_PCC_6301
GCF_000011485.1,NC_005071.1,WP_011130162.1,sigma-70 family RNA polymerase sigma factor,NA,Prochlorococcus_marinus_str._MIT_9313
GCF_000012685.1,NC_008095.1,WP_011552512.1,sigma-70 family RNA polymerase sigma factor,NA,Myxococcus_xanthus_DK_1622
GCF_000525675.1,NZ_CP002190.1,WP_025309103.1,FliA/WhiG family RNA polymerase sigma factor,NA,Bdellovibrio_bacteriovorus_W
GCF_000009125.1,NC_003296.1,WP_170864009.1,RNA polymerase sigma factor FliA,NA,Ralstonia_solanacearum_GMI1000
