taxon,n.sig,header,protein,sp,description,vog,virus name,virus lineage,refseq id,KEGG GENOME,KEGG DISEASE,DISEASE,host tax id,host name,domain,phylum,class,order,family.etc,pmid,evidence,sample type,source organism,n.host,filt,viral.family,tigr.hit1,tigr.hit2,tigr.hit3,tigr.hit,sig.class,sig.group
10665,1,10665.NP_049679.1 RNA polymerase sigma factor [Escherichia virus T4 (T4)],NP_049679.1,Escherichia virus T4 (T4), RNA polymerase sigma factor,VOG05673,Escherichia virus T4,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus,NC_000866,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10665.NP_049679.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
10685,3,10685.YP_002300398.1 gp28 [Bacillus virus SPO1],YP_002300398.1,Bacillus virus SPO1, gp28,VOG07471,Bacillus virus SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10685.YP_002300398.1,Herelleviridae,FliA_WhiG,NA,NA,FliA_WhiG,stationary,sig70-3-fl
10685,3,10685.YP_002300430.1 gp34 [Bacillus virus SPO1],YP_002300430.1,Bacillus virus SPO1, gp34,VOG00048,Bacillus virus SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10685.YP_002300430.1,Herelleviridae,sigma70-ECF,SigBFG,FliA_WhiG,FliA_WhiG,stationary,sig70-3-fl
10685,3,10685.YP_002300332.1 gp2.21 [Bacillus virus SPO1],YP_002300332.1,Bacillus virus SPO1, gp2.21,VOG00048,Bacillus virus SPO1,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Spounavirinae; Okubovirus,NC_011421,NA,NA,NA,1423,Bacillus subtilis,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae; Bacillus; Bacillus subtilis group,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,10685.YP_002300332.1,Herelleviridae,sigma70-ECF,SigBFG,spore_sigmaK,spore_sigmaK,sporulation,sig70-3-spo
10693,1,10693.YP_002854023.1 RNA polymerase sigma factor [Enterobacteria phage RB51],YP_002854023.1,Enterobacteria phage RB51, RNA polymerase sigma factor,VOG05673,Enterobacteria phage RB51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_012635,NA,NA,NA,543,Enterobacteriaceae,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,NA,NA,NCBI Virus,NA,NA,2,10693.YP_002854023.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
12353,1,12353.NP_861761.1 RNA polymerase sigma factor [Escherichia phage RB69 (RB69)],NP_861761.1,Escherichia phage RB69 (RB69), RNA polymerase sigma factor,VOG05673,Escherichia phage RB69,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Mosigvirus; Escherichia virus RB69,NC_004928,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"RefSeq, UniProt",NA,NA,1,12353.NP_861761.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
31533,1,31533.YP_009098450.1 RNA polymerase sigma factor [Escherichia phage RB3],YP_009098450.1,Escherichia phage RB3, RNA polymerase sigma factor,VOG05673,Escherichia phage RB3,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; Escherichia virus RB3,NC_025419,NA,NA,NA,37762,Escherichia coli B,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,25555735,"Literature, RefSeq",NA,NA,1,31533.YP_009098450.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
36339,1,36339.YP_009167437.1 RNA polymerase sigma factor [Enterobacteria phage RB68],YP_009167437.1,Enterobacteria phage RB68, RNA polymerase sigma factor,VOG05673,Enterobacteria phage RB68,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_027979,NA,NA,NA,37762,Escherichia coli B,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia; Escherichia coli,25555735,"Literature, NCBI Virus, RefSeq",NA,NA,1,36339.YP_009167437.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
40523,1,40523.YP_001468523.1 gp143 [Listeria virus A511],YP_001468523.1,Listeria virus A511, gp143,VOG00048,Listeria virus A511,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Jasinkavirinae; Pecentumvirus,NC_009811,NA,NA,NA,1639,Listeria monocytogenes,Bacteria,Firmicutes,Bacilli,Bacillales,Listeriaceae; Listeria,NA,"NCBI Virus, RefSeq, UniProt",NA,NA,1,40523.YP_001468523.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
45406,1,45406.YP_803007.1 RNA polymerase sigma factor [Escherichia virus RB32],YP_803007.1,Escherichia virus RB32, RNA polymerase sigma factor,VOG05673,Escherichia virus RB32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Tequatrovirus; unclassified Tequatrovirus,NC_008515,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,UniProt,NA,NA,1,45406.YP_803007.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
50948,1,50948.NP_891614.1 RNA polymerase sigma factor [Escherichia phage RB49 (RB49)],NP_891614.1,Escherichia phage RB49 (RB49), RNA polymerase sigma factor,VOG05673,Escherichia phage RB49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Myoviridae; Tevenvirinae; Krischvirus; Escherichia virus RB49,NC_005066,NA,NA,NA,562,Escherichia coli,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae; Escherichia,NA,"RefSeq, UniProt",NA,NA,1,50948.NP_891614.1,Myoviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
55510,1,55510.YP_238615.1 ORF058 [Staphylococcus virus Twort],YP_238615.1,Staphylococcus virus Twort, ORF058,VOG00048,Staphylococcus virus Twort,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Caudovirales; Herelleviridae; Twortvirinae; Twortvirus,NC_007021,NA,NA,NA,1280,Staphylococcus aureus,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae; Staphylococcus,NA,"NCBI Virus, RefSeq",NA,NA,1,55510.YP_238615.1,Herelleviridae,no_hit,NA,NA,no_hit,no_hit,no_hit
